id,motor,propeller,battery,number_of_batteries,cost,useful_thrust,avail_weight,endurance,throttle
0e9d3e51,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Panther 6000mAh 6S 75C Battery Pack w/XT90, weight=950.0, cost=98.74, voltage=22.2, capacity_milliamp_hours=6000.0, capacity_watt_hours=133.20)",3,2649.06,1041.822222222223,10559.6,31.635069084270363,67.2038784067086
b9f48141,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Panther 6000mAh 6S 75C Battery Pack w/XT90, weight=950.0, cost=98.74, voltage=22.2, capacity_milliamp_hours=6000.0, capacity_watt_hours=133.20)",4,2747.8,91.82222222222299,9609.6,42.180092112360484,67.2038784067086
48778fe3,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Panther 6000mAh 6S 75C Battery Pack w/XT90, weight=950.0, cost=98.74, voltage=22.2, capacity_milliamp_hours=6000.0, capacity_watt_hours=133.20)",5,2846.54,-858.177777777777,8659.6,52.72511514045061,67.2038784067086
cf14f660,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Professional 8000mAh 6S 15C LiPo Pack w/XT90, weight=1110.0, cost=119.77, voltage=22.2, capacity_milliamp_hours=8000.0, capacity_watt_hours=177.60)",1,2472.61,2781.8222222222225,12299.6,14.060030704120162,67.2038784067086
025a1286,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Professional 8000mAh 6S 15C LiPo Pack w/XT90, weight=1110.0, cost=119.77, voltage=22.2, capacity_milliamp_hours=8000.0, capacity_watt_hours=177.60)",2,2592.38,1671.8222222222225,11189.6,28.120061408240325,67.2038784067086
27c2c113,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Professional 8000mAh 6S 15C LiPo Pack w/XT90, weight=1110.0, cost=119.77, voltage=22.2, capacity_milliamp_hours=8000.0, capacity_watt_hours=177.60)",3,2712.15,561.822222222223,10079.6,42.180092112360484,67.2038784067086
801fed96,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Professional 8000mAh 6S 15C LiPo Pack w/XT90, weight=1110.0, cost=119.77, voltage=22.2, capacity_milliamp_hours=8000.0, capacity_watt_hours=177.60)",4,2831.92,-548.177777777777,8969.6,56.24012281648065,67.2038784067086
ed530e75,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Graphene Professional 8000mAh 6S 15C LiPo Pack w/XT90, weight=1110.0, cost=119.77, voltage=22.2, capacity_milliamp_hours=8000.0, capacity_watt_hours=177.60)",5,2951.69,-1658.177777777777,7859.6,70.30015352060082,67.2038784067086
ccd84c8f,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Nano-Tech Plus 6000mAh 6S 70C LiPo Pack w/XT90, weight=1034.0, cost=108.86, voltage=22.2, capacity_milliamp_hours=6000.0, capacity_watt_hours=133.20)",1,2461.7000000000003,2857.8222222222225,12375.6,10.545023028090121,67.2038784067086
b5544eb5,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Nano-Tech Plus 6000mAh 6S 70C LiPo Pack w/XT90, weight=1034.0, cost=108.86, voltage=22.2, capacity_milliamp_hours=6000.0, capacity_watt_hours=133.20)",2,2570.56,1823.8222222222225,11341.6,21.090046056180242,67.2038784067086
53b0f5bb,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Nano-Tech Plus 6000mAh 6S 70C LiPo Pack w/XT90, weight=1034.0, cost=108.86, voltage=22.2, capacity_milliamp_hours=6000.0, capacity_watt_hours=133.20)",3,2679.42,789.822222222223,10307.6,31.635069084270363,67.2038784067086
b8b3b618,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Nano-Tech Plus 6000mAh 6S 70C LiPo Pack w/XT90, weight=1034.0, cost=108.86, voltage=22.2, capacity_milliamp_hours=6000.0, capacity_watt_hours=133.20)",4,2788.28,-244.177777777777,9273.6,42.180092112360484,67.2038784067086
4804626a,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Nano-Tech Plus 6000mAh 6S 70C LiPo Pack w/XT90, weight=1034.0, cost=108.86, voltage=22.2, capacity_milliamp_hours=6000.0, capacity_watt_hours=133.20)",5,2897.1400000000003,-1278.177777777777,8239.6,52.72511514045061,67.2038784067086
119b0cb0,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100001, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",1,2352.84,2571.8222222222225,12089.6,17.575038380150204,67.2038784067086
3285c6a2,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100001, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",2,2352.84,1251.822222222223,10769.6,35.15007676030041,67.2038784067086
144d25b7,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100001, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",3,2352.84,-68.17777777777701,9449.6,52.72511514045061,67.2038784067086
12a3b253,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=LP6100001, weight=1320.0, cost=0.0, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",4,2352.84,-1388.177777777777,8129.6,70.30015352060082,67.2038784067086
